ID,fire,lst,Lst in K,ta,ndvi
3_2019163,193_2019163,14796.51282,295.9302564,NA,NA
4_2019244,154_2019244,14886.53102,297.7306204,5,NA
7_2018212,87_2018212,15021.03034,300.4206068,NA,NA
7_2018312,77_2018312,15140.11781,302.8023562,NA,NA
3_2018185,3_2018185,15282.96554,305.6593108,NA,NA
4_2019189,194_2019189,15289.64815,305.792963,NA,NA
2_2019159,182_2019159,15330.59322,306.6118644,NA,NA
7_2019304,207_2019304,15339.35714,306.7871428,NA,NA
2_2018210,82_2018210,15346.61224,306.9322448,NA,NA
6_2018213,6_2018213,15354.175,307.0835,NA,NA
2_2018228,52_2018228,15368.2973,307.365946,NA,NA
4_2019143,214_2019143,15374.52308,307.4904616,NA,NA
1_2019220,211_2019220,15397.90909,307.9581818,NA,NA
8_2018252,78_2018252,15432.36364,308.6472728,NA,NA
4_2018187,4_2018187,15437.68966,308.7537932,NA,NA
4_2018187,84_2018187,15437.68966,308.7537932,NA,NA
6_2018176,46_2018176,15460.20132,309.2040264,NA,NA
6_2018176,56_2018176,15460.20132,309.2040264,NA,NA
3_2018286,43_2018286,15498.97778,309.9795556,NA,NA
8_2019224,188_2019224,15510.78378,310.2156756,NA,NA
6_2019197,166_2019197,15512.11796,310.2423592,7.136363636,NA
0_2018155,90_2018155,15514.88235,310.297647,NA,NA
5_2018187,35_2018187,15545.51087,310.9102174,NA,NA
8_2018155,38_2018155,15550.17593,311.0035186,NA,NA
1_2018215,51_2018215,15560.08163,311.2016326,NA,NA
6_2018203,26_2018203,15572.65,311.453,NA,NA
6_2018189,86_2018189,15577.74627,311.5549254,NA,NA
8_2018122,18_2018122,15582.83495,311.656699,NA,NA
2_2019169,212_2019169,15627.61538,312.5523076,NA,NA
0_2018169,20_2018169,15646.08621,312.9217242,NA,NA
2_2018256,42_2018256,15649.2302,312.984604,NA,NA
7_2018247,7_2018247,15673.15152,313.4630304,NA,NA
8_2019303,138_2019303,15675.69935,313.513987,NA,NA
8_2019303,218_2019303,15675.69935,313.513987,NA,NA
6_2019208,186_2019208,15682.25926,313.6451852,NA,NA
8_2018319,48_2018319,15729.81538,314.5963076,NA,NA
0_2018312,50_2018312,15741.5,314.83,NA,NA
5_2018180,25_2018180,15744.82192,314.8964384,NA,NA
2_2018162,62_2018162,15748.59504,314.9719008,NA,NA
9_2018155,19_2018155,15748.875,314.9775,NA,NA
4_2018141,94_2018141,15761.70968,315.2341936,NA,NA
5_2018175,55_2018175,15763.38986,315.2677972,NA,NA
3_2019130,213_2019130,15766.59259,315.3318518,NA,NA
1_2019160,201_2019160,15785.34615,315.706923,NA,NA
1_2018172,81_2018172,15790.77182,315.8154364,NA,NA
6_2018199,36_2018199,15824.9,316.498,NA,NA
1_2019313,221_2019313,15866.30769,317.3261538,NA,NA
5_2018212,85_2018212,15953.27536,319.0655072,NA,NA
2_2019215,202_2019215,15957.96226,319.1592452,NA,NA
1_2018213,21_2018213,15966.2673,319.325346,NA,NA
3_2018199,63_2018199,15984.14242,319.6828484,NA,NA
7_2019301,217_2019301,15989.31819,319.7863638,NA,NA
5_2018155,75_2018155,16008.98077,320.1796154,NA,NA
4_2019210,204_2019210,16076.34532,321.5269064,NA,NA
0_2018217,60_2018217,16109.55882,322.1911764,NA,NA
8_2019247,168_2019247,16114.07692,322.2815384,5,NA
8_2019247,198_2019247,16114.07692,322.2815384,5,NA
2_2018227,32_2018227,16131.58333,322.6316666,NA,NA
6_2019205,196_2019205,16150.58422,323.0116844,NA,NA
5_2019260,215_2019260,16154.65385,323.093077,NA,NA
8_2018207,28_2018207,16235.43662,324.7087324,NA,NA
4_2018157,34_2018157,16244.36923,324.8873846,NA,NA
9_2018163,39_2018163,16310.03571,326.2007142,NA,NA
9_2018261,49_2018261,16325.61174,326.5122348,NA,NA
0_2018049,10_2018049,NA,#VALUE!,NA,NA
5_2018190,115_2018190,NA,#VALUE!,5,NA
6_2018174,116_2018174,NA,#VALUE!,5,NA
7_2018144,117_2018144,NA,#VALUE!,6.902173913,NA
8_2018272,118_2018272,NA,#VALUE!,5,NA
9_2019304,119_2019304,NA,#VALUE!,5,NA
2_2018303,12_2018303,NA,#VALUE!,5,NA
0_2019303,120_2019303,NA,#VALUE!,7.657024793,NA
2_2019195,122_2019195,NA,#VALUE!,5,NA
3_2019249,123_2019249,NA,#VALUE!,5,NA
7_2019193,137_2019193,NA,#VALUE!,NA,NA
9_2019227,139_2019227,NA,#VALUE!,NA,NA
4_2018178,14_2018178,NA,#VALUE!,NA,NA
0_2019298,140_2019298,NA,#VALUE!,NA,NA
1_2019214,141_2019214,NA,#VALUE!,NA,NA
2_2019246,142_2019246,NA,#VALUE!,NA,NA
3_2019174,143_2019174,NA,#VALUE!,NA,NA
4_2019149,144_2019149,NA,#VALUE!,NA,NA
5_2019291,145_2019291,NA,#VALUE!,NA,NA
6_2019254,146_2019254,NA,#VALUE!,NA,NA
7_2019248,147_2019248,NA,#VALUE!,6.437086093,NA
8_2019272,148_2019272,NA,#VALUE!,NA,NA
9_2019248,149_2019248,NA,#VALUE!,NA,NA
5_2018146,15_2018146,NA,#VALUE!,NA,NA
0_2019160,150_2019160,NA,#VALUE!,NA,NA
1_2019176,151_2019176,NA,#VALUE!,NA,NA
2_2019190,152_2019190,NA,#VALUE!,5,NA
3_2019210,153_2019210,NA,#VALUE!,5,NA
5_2019245,155_2019245,NA,#VALUE!,5,NA
6_2019281,156_2019281,NA,#VALUE!,5,NA
7_2019297,157_2019297,NA,#VALUE!,5,NA
8_2019266,158_2019266,NA,#VALUE!,5,NA
9_2019196,159_2019196,NA,#VALUE!,5,NA
6_2018166,16_2018166,NA,#VALUE!,5,NA
0_2019153,160_2019153,NA,#VALUE!,8,NA
1_2019266,161_2019266,NA,#VALUE!,5,NA
2_2019247,162_2019247,NA,#VALUE!,6.730769231,NA
